Forecast,Real,Error
950.3021976391263,936.5360000000001,-13.76619763912629
963.7948962042447,926.8860000000001,-36.90889620424457
982.1090177972367,941.357,-40.752017797236704
980.0096946212467,947.0,-33.009694621246695
966.1301295572295,947.857,-18.27312955722948
959.8174817098443,946.429,-13.388481709844314
1022.1858718087168,961.2860000000001,-60.89987180871674
1039.0899686865957,985.0,-54.08996868659574
1035.5026484558218,993.571,-41.9316484558218
1024.5427950988833,1010.408,-14.134795098883274
1015.9362601699621,1024.171,8.234739830037938
979.4943586195394,1034.4289999999999,54.93464138046045
